Cc1ccc(C[C@@H](C)NC(=O)[C@@H]2CCCN2C)c(C)c1,ZINC000108902066
CN(C[C@@H]1CCCCO1)C(=O)[C@H]([NH3+])CC(F)F,ZINC000310323859
CCC[N@H+](C)C[C@@H]1CCN(C(=O)Nc2ccccc2-c2noc(C)n2)C1,ZINC000078492238
Cc1cncc(C(=O)N(CCC[NH2+]CCO)CC2CCCC2)c1,ZINC001177270399
Cc1cc(C)c(C(=O)NC[C@H]2CN(C(=O)C(C)C)CC[C@@H]2C)c(C)n1,ZINC001018513663
Cn1cc(NC(=O)C(=O)N[C@H](CCCO)c2ccccc2)cn1,ZINC000340547367
CO[C@H](C(=O)N[C@@H](C[C@@H]1CCCO1)C(=O)[O-])C1CCC1,ZINC000910594318
CC(C)OCC(C)(C)NC(=O)Cc1ccc(F)c(Br)c1,ZINC000413999239
CCOC(=O)C(C)(C)C(=O)N1CCc2cnc(OC)cc2C1,ZINC001181053781
CC1(C)C[C@@H](NC(=O)[C@H]2CCCC(=O)N2)c2ccccc21,ZINC000328811071
C[NH+](C)Cc1ccc(C(=O)NC2CN(C(=O)C(=O)C(C)(C)C)C2)cc1,ZINC000995800610
CNC(=O)[C@@]1(C)CC[N@H+](Cc2ccc(-c3cccc([N+](=O)[O-])c3)o2)C1,ZINC000281045843
CN1CCN(c2ccc(-c3ccc4ncnn4c3F)cn2)CC1,ZINC001235980490
F[C@H]1CCC[N@H+](Cc2c[nH]c3cc(Br)cnc23)CC1,ZINC001144695580
CC(C)c1nc([C@@H](C)Nc2ccc3c(c2)NC(=O)CO3)cs1,ZINC000769416715
CCc1nocc1C[NH2+][C@@H](C)C[C@H](C)NC(=O)Cc1nnc[nH]1,ZINC001135907806
COC[C@@H]1CCO[C@@H]1c1nnc(N(C)CC2CC(F)(F)C2)n1CCO[C@H]1CCCC[C@@H]1C,ZINC001316277104
Cc1cc(C(=O)NC[C@@]2(C)CCCN(Cc3nc(C)c(C)o3)C2)co1,ZINC001724321384
CCOC(=O)c1ccc(NS(=O)(=O)N(C)C)c(O)c1,ZINC000266006619
CC(C)C[C@H](CNC(=O)c1cnc2nccn2c1)CC(=O)[O-],ZINC000902084166
